"ID","MDATE","STADIUM","COACH","TEAMNAME"
"1005","16-JUN-12","Stadion Miejski (Wroclaw)","Franciszek Smuda","Poland"
"1006","16-JUN-12","National Stadium, Warsaw","Dick Advocaat","Russia"
"1004","12-JUN-12","National Stadium, Warsaw","Dick Advocaat","Russia"
"1003","12-JUN-12","Stadion Miejski (Wroclaw)","Michal Bílek","Czech Republic"
"1002","08-JUN-12","Stadion Miejski (Wroclaw)","Michal Bílek","Czech Republic"
"1026","22-JUN-12","PGE Arena Gdansk","Fernando Santos","Greece"
"1001","08-JUN-12","National Stadium, Warsaw","Fernando Santos","Greece"
"1011","17-JUN-12","Metalist Stadium","Bert van Marwijk","Netherlands"
"1007","09-JUN-12","Metalist Stadium","Morten Olsen","Denmark"
"1012","17-JUN-12","Arena Lviv","Joachim Löw","Germany"
"1010","13-JUN-12","Metalist Stadium","Joachim Löw","Germany"
"1025","21-JUN-12","National Stadium, Warsaw","Paulo Bento","Portugal"
"1009","13-JUN-12","Arena Lviv","Paulo Bento","Portugal"
"1008","09-JUN-12","Arena Lviv","Paulo Bento","Portugal"
"1029","27-JUN-12","Donbass Arena","Vicente del Bosque","Spain"
"1017","18-JUN-12","PGE Arena Gdansk","Vicente del Bosque","Spain"
"1031","01-JUL-12","Olimpiyskiy National Sports Complex","Cesare Prandelli","Italy"
"1030","28-JUN-12","National Stadium, Warsaw","Cesare Prandelli","Italy"
"1028","24-JUN-12","Olimpiyskiy National Sports Complex","Cesare Prandelli","Italy"
"1013","10-JUN-12","PGE Arena Gdansk","Cesare Prandelli","Italy"
"1018","18-JUN-12","Stadion Miejski (Poznan)","Giovanni Trapattoni","Republic of Ireland"
"1016","14-JUN-12","PGE Arena Gdansk","Giovanni Trapattoni","Republic of Ireland"
"1015","14-JUN-12","Stadion Miejski (Poznan)","Slaven Bilic","Croatia"
"1014","10-JUN-12","Stadion Miejski (Poznan)","Slaven Bilic","Croatia"
"1023","19-JUN-12","Donbass Arena","Oleh Blokhin","Ukraine"
"1020","11-JUN-12","Olimpiyskiy National Sports Complex","Erik Hamrén","Sweden"
"1022","15-JUN-12","Olimpiyskiy National Sports Complex","Roy Hodgson","England"
"1019","11-JUN-12","Donbass Arena","Roy Hodgson","England"
"1027","23-JUN-12","Donbass Arena","Laurent Blanc","France"
"1024","19-JUN-12","Olimpiyskiy National Sports Complex","Laurent Blanc","France"
"1021","15-JUN-12","Donbass Arena","Laurent Blanc","France"
"","","","Diego Maradona","Argentina"
